consumer,resource_original,resource_collapsed,resource_group,reference,reference_lins,observations
Nacella magellanica,Lasaea sp.,Bivalvia,BIvalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Adenocystis utricularis,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Caepidium antarcticum,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Ectocarpus siliculosus,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Halopteris funnicularis,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Macrocystis pyrifera,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Scytosiphon lomentaria,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Elminius kingii,Cirripedia,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Oscillatoria sp.,Cyanobacteria,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Arachnida indet,Detritus,Non-living,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Miscellaneus,Detritus,Non-living,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella magellanica,Forams,Foraminifera,Foraminifera,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella magellanica,Forams,Foraminifera,Foraminifera,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Laevilitorina caliginosa,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Onchidella marginata,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Green algae,Green Algae,Macroalgae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella magellanica,Rhizoclonium sp.,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Spongomorpha pacifica,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Ulothrix sp.,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Ulva lactuca,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Ulva prolifera,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Ulva sp.,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Halirytus magellanicus,Halirytus magellanicus,Insecta,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Margarella violacea,Margarella violacea,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Mytilus platensis,Mytilus sp.,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Notochthamalus scabrosus,Notochthamalus scabrosus,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Ostracods,Ostracoda,Ostracoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Chroococcus sp.,Phytoplankton,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content
Nacella magellanica,Melosira sp.,Phytoplankton,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Coscinodiscus sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Fragilaria sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Navicula sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Rhabdonema sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Acrochaetium sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Ballia callitricha,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Bostrychia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Grateloupia sp,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Heterosiphonia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Iridaea chordata,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Mazzaella laminaroides,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Nothogenia fastigiata,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Polysiphonia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Pterosiphonia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Red algae,Red Algae,Macroalgae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella magellanica,Sarcothalia crispata,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella mytilina,Macrocystis pyrifera,Brown Algae,Macroalgae,Andrade unpub.,,Stomach content
Nacella mytilina,Phytodetritus,Phytodetritus,Non-living,Andrade unpub.,,
Nacella mytilina,Phytoplankton,Phytoplankton,Phytoplankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,In situ observation
Notochthamalus scabrosus,Phytoplankton,Phytoplankton,Phytoplankton,,,
Odontesthes sp.,Amphipoda,Amphipoda,Amphipoda,Antezana (pers. comm),,
Odontesthes sp.,Darina solenoides,Bivalvia,Bivalvia,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348,
Oncorhynchus sp.,Munida gregaria,Benthic Decapoda,Decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6024,Gut content (seasonal sampling)
Ophiactis asperula,Phytodetritus,Phytodetritus,Non-living,Rivera (pers. Comm),,Stomach content
Ophiuroglypha lymani,Crustaceans,Benthic Decapoda,Decapoda,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/973,Stomach content
Ophiuroglypha lymani,Bivalves,Bivalvia,BIvalvia,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/978,Stomach content
Ophiuroglypha lymani,Macroalgae,Brown Algae,Macroalgae,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/977,Stomach content
Ophiuroglypha lymani,Bryozoans,Bryozoa,Bryozoa,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/979,Stomach content
Ophiuroglypha lymani,Detritus,Detritus,Non-living,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/975,Stomach content
Ophiuroglypha lymani,Fecal pellets,Detritus,Detritus,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/974,Stomach content
Ophiuroglypha lymani,Phytodetritus,Phytodetritus,Non-living,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/972,Stomach content
Ophiuroglypha lymani,Sediment,Sediment,Non-living,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/976,Stomach content
Orcinus orca,Fish,Fish,Pisces,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1446,In situ observation
Orcinus orca,Arctocephalus australis,Otaria flavescens,Pinnipedia,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1444,In situ observation
Orcinus orca,Otaria byronia,Otaria flavescens,Pinnipedia,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1443,Stomach content
Orcinus orca,Tachyeres pteneres,Tachyeres pteneres,Aves,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1445,In situ observation
Ostracoda,Detritus,Detritus,Non-living,,,
Ostracoda,Phytoplankton,Phytoplankton,Phytoplankton,,,
Ostracoda,Picoplankton,Phytoplankton,Phytoplankton,Cañete (pers. comm.),,
Ostracoda,Zooplankton,Zooplankton,Zooplankton,,,
Otaria flavescens,Munida gregaria,Benthic Decapoda,Decapoda,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12379,Stomach content
Otaria flavescens,Callorhinchus callorynchus,Callorhinchus callorynchus,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12393,"SIA (skin, muscle)"
Otaria flavescens,Cilus gilberti,Cilus gilberti,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12391,"SIA (skin, muscle)"
Otaria flavescens,Eleginops maclovinus,Eleginops maclovinus,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12383,"SIA (skin, muscle)"
Otaria flavescens,Genypterus blacodes,Genypterus blacodes,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12392,"SIA (skin, muscle)"
Otaria flavescens,Merluccius australis,Merluccius australis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12390,"SIA (skin, muscle)"
Otaria flavescens,Mustelus mento,Mustelus mento,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12384,"SIA (skin, muscle)"
Otaria flavescens,Odontesthes regia,Odontesthes sp.,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12387,"SIA (skin, muscle)"
Otaria flavescens,Oncorhynchus kisutch,Oncorhynchus sp.,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12381,"SIA (skin, muscle)"
Otaria flavescens,Oncorhynchus mykiss,Oncorhynchus sp.,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12380,"SIA (skin, muscle)"
Otaria flavescens,Paralabrax humeralis,Paralabrax humeralis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12386,"SIA (skin, muscle)"
Otaria flavescens,Pinguipes chilensis,Pinguipes chilensis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12394,"SIA (skin, muscle)"
Otaria flavescens,Salmo salar,Salmo salar,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12382,"SIA (skin, muscle)"
Otaria flavescens,Sprattus fuegensis,Sprattus fuegensis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12388,"SIA (skin, muscle)"
Otaria flavescens,Thyrsites atun,Thyrsites atun,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12385,"SIA (skin, muscle)"
Otaria flavescens,Trachurus murphyi,Trachurus murphyi,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12389,"SIA (skin, muscle)"
Pagurus sp.,Detritus,Detritus,Non-living,C. Andrade unpub.,,"SIA (skin, muscle)"
Paracalanus indicus,Rhizosolenia sp.,Rhizosolenia sp.,Phytoplankton,Aguilera et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/17451000.2010.499437,
Paracalanus indicus,Thalassiosira sp.,Thalassiosira sp.,Phytoplankton,Aguilera et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/17451000.2010.499437,
Paraeuthria fuscata,Detritus,Detritus,Non-living,Andrade C (2009),,In situ observation
Paralomis granulosa,Amphipoda,Amphipoda,Amphipoda,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Macrocystis pyrifera,Brown Algae,Macroalgae,Andrade unpub.,,In situ observation
Paralomis granulosa,Bryozoans,Bryozoa,Bryozoa,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Debris allocthonous,Detritus,Non-living,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Enteroctopus megalocyathus,Enteroctopus megalocyathus,Cephalopoda,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Forams,Foraminifera,Foraminifera,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Gaimardia trapesina,Gastropoda,Gastropoda,Cañete et al. (2021),https://www.scielo.br/j/nau/a/DwGRczmMrxWjByhxjy8GHhD/,
Paralomis granulosa,Hydrozoans,Hydrozoa,Hydrozoa,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Mytilus chilensis,Mytilus sp.,Bivalvia,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Polychaetes,Polychaeta,Polychaeta,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Sponges,Porifera,Porifera,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,Andrade unpub.,,Stomach content (unpublished data)
Paralomis granulosa,Rhodophyta indet,Red Algae,Macroalgae,Andrade unpub.,,Stomach content (unpublished data)
Patagonotothen cornucola,Munida gregaria,Benthic Decapoda,Decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6022,In situ observation
Patagonotothen cornucola,Exospheroma gigas,Exosphaeroma gigas,Isopoda,Hüne & Vega (2016),,
Patagonotothen sima,Amphipoda,Amphipoda,Amphipoda,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile,
Patagonotothen sima,Munida gregaria,Benthic Decapoda,Decapoda,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile,
Patagonotothen sima,Copepods,Copepoda,Copepoda,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile,
Patagonotothen sima,Polychaetes,Polychaeta,Polychaeta,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile,
Patagonotothen sp.,Munida gregaria,Benthic Decapoda,Decapoda,,,
Patagonotothen sp.,Macroalgae,Brown Algae,Macroalgae,,,
Patagonotothen sp.,Exospheroma gigas,Exosphaeroma gigas,Isopoda,,,
Patagonotothen sp.,Polychaetes,Polychaeta,Polychaeta,,,
Patagonotothen tessellata,Austroregia sp.,Amphipoda,Amphipoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6020,Stomach content
Patagonotothen tessellata,Gammaridae,Amphipoda,Amphipoda,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-9,Stomach content
Patagonotothen tessellata,Munida gregaria,Benthic Decapoda,Decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6021,Stomach content
Patagonotothen tessellata,Chironomidae,Chironomidae,Insecta,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-13,Stomach content
Patagonotothen tessellata,Rhizoclonium sp,Green Algae,Macroalgae,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-11,Stomach content
Patagonotothen tessellata,Ostracods,Ostracoda,Ostracoda,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-10,Stomach content
Patagonotothen tessellata,Patagonotothen spp.,Patagonotothen sp.,Pisces,Hüne et al. (2023),,
Patagonotothen tessellata,Platynereis australis,Polychaeta,Polychaeta,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-8,Stomach content
Patagonotothen tessellata,Polysiphonia sp.,Red Algae,Macroalgae,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-12,Stomach content
Patagonotothen tessellata (larvae),Aetideus arcuatus,Aetideus arcuatus,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Patagonotothen tessellata (larvae),Bivalvia larva,Bivalvia (larvae),Bivalvia,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Stomach content
Patagonotothen tessellata (larvae),Calanoid copepodite,Copepoda,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Patagonotothen tessellata (larvae),Calanoides patagoniensis,Copepoda,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Patagonotothen tessellata (larvae),Calanus simillimus,Copepoda,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Patagonotothen tessellata (larvae),Copepod egg,Copepoda (egg),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Patagonotothen tessellata (larvae),Copepod nauplius,Copepoda (nauplius),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Patagonotothen tessellata (larvae),Paracalanus indicus,Paracalanus indicus,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Patagonotothen tessellata (larvae),Pluteus larva,Pluteus (larvae),Echinodermata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Peltarion spinulosum,Nacella deaurata,Nacella deaurata,Gastropoda,,https://link.springer.com/article/10.1007/s10530-022-02806-6,
Perumytilus purpuratus,Phytoplankton,Phytoplankton,Phytoplankton,,,
Perumytilus purpuratus,Zooplankton,Zooplankton,Zooplankton,,,
Pinguipes chilensis,Amphipoda,Amphipoda,Amphipoda,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A,
Pinguipes chilensis,Aulacomya atra,Aulacomya atra,Bivalvia,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A,
Pinguipes chilensis,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A,
Pinguipes chilensis,Odontesthes regia,Odontesthes sp.,Pisces,,,
Pinguipes chilensis,Pagurus sp.,Pagurus sp.,Decapoda,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A,
Pinguipes chilensis,Polychaetes,Polychaeta,Polychaeta,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A,
Platynereis australis,Macroalgae,Brown Algae,Macroalgae,Montiel (pers. comm.),,
Platynereis australis,Detritus,Detritus,Non-living,Montiel (pers. comm.),,
Plaxiphora aurata,Diatoms,Benthic Diatom,Phytoplankton,C. Andrade unpub.,,
Plaxiphora aurata,Diatoms,Benthic Diatom,Phytoplankton,Andrade unpub.,,In situ observation
Plaxiphora aurata,Phytodetritus,Phytodetritus,Non-living,C. Andrade unpub.,,Gut content
Plaxiphora aurata,Phytodetritus,Phytodetritus,Non-living,Andrade unpub.,,Observed in stomach content
Pluteus (larvae),Zooplankton,Zooplankton,Zooplankton,,,
Polychaeta,Brown algae,Brown Algae,Macroalgae,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Polychaeta,Copepods,Copepoda,Copepoda,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Polychaeta,Detritus,Detritus,Non-living,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Polychaeta,Diatoms,Diatoms,Phytoplankton,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Polychaeta,Green algae,Green Algae,Macroalgae,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Polychaeta,Ostracods,Ostracoda,Ostracoda,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Polychaeta,Red algae,Red Algae,Macroalgae,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Polychaeta,Zooplankton,Zooplankton,Zooplankton,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf,
Porifera,Detritus,Detritus,Non-living,,,
Porifera,Phytoplankton,Phytoplankton,Phytoplankton,,,
Prolatilus jugularis,Amphipoda,Amphipoda,Amphipoda,Reyes & Hüne (2012),Peces del sur de Chile,
Prolatilus jugularis,Pagurus sp.,Pagurus sp.,Decapoda,Reyes & Hüne (2012),Peces del sur de Chile,
Prolatilus jugularis,Polychaetes,Polychaeta,Polychaeta,,http://opac.pucv.cl/pucv_txt/txt-0000/UCH0448_01.pdf,
Pseudechinus magellanicus,Macroalgae,Brown Algae,Macroalgae,,https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216,
Pseudechinus magellanicus,Forams,Foraminifera,Foraminifera,,https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216,
Pseudechinus magellanicus,Ostracods,Ostracoda,Ostracoda,,https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216,
Pseudorca crassidens,Genypterus blacodes,Genypterus blacodes,Pisces,Alonso & Pedraza (1999),,
Pseudorca crassidens,Illex argentinus,Illex argentinus,Cephalopoda,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x,Stomach content
Pseudorca crassidens,Macruronus magellanicus,Macruronus magellanicus,Pisces,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x,Stomach content
Pseudorca crassidens,Martialia hyadesii,Martialia hyadesii,Cephalopoda,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x,Stomach content
Salilota australis,Austrolycus depressiceps,Austrolycus depressiceps,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Salilota australis,Munida gregaria,Benthic Decapoda,Decapoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Salilota australis,Munida gregaria,Benthic Decapoda,Decapoda,,,
Salilota australis,Merluccius sp.,Merluccius sp.,Pisces,Jimena Torres pers. comm,,
Salilota australis,Patagonotothen cornucola,Patagonotothen cornucola,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Salilota australis,Patagonotothen spp.,Patagonotothen sp.,Pisces,,,
Salilota australis,Themisto gaudichaudii,Themisto gaudichaudii,Amphipoda,Padovani et al. (2012),https://doi.org/10.1016/j.seares.2011.10.007,
