consumer,resource_original,resource_collapsed,resource_group,reference,reference_link
Nacella magellanica,Ulva lactuca,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Ulva prolifera,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Ulva sp.,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Margarella violacea,Margarella violacea,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Mytilus platensis,Mytilus sp.,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Notochthamalus scabrosus,Notochthamalus scabrosus,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Ostracods,Ostracoda,Ostracoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Chroococcus sp.,Phytoplankton,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Melosira sp.,Phytoplankton,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Coscinodiscus sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Fragilaria sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Navicula sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Rhabdonema sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Acrochaetium sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Ballia callitricha,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Bostrychia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Grateloupia sp,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Heterosiphonia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Iridaea chordata,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Mazzaella laminaroides,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Nothogenia fastigiata,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Polysiphonia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Pterosiphonia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Red algae,Red algae,Macroalgae,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella magellanica,Sarcothalia crispata,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella mytilina,Macrocystis pyrifera,Brown algae,Macroalgae,Andrade (pers. comm.),
Nacella mytilina,Phytodetritus,Phytodetritus,Non-living,Andrade (pers. comm.),
Nacella mytilina,Phytoplankton,Phytoplankton,Phytoplankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
Notochthamalus scabrosus,Phytoplankton,Phytoplankton,Phytoplankton,,
Odontesthes sp.,Amphipoda,Amphipoda,Amphipoda,Antezana (pers. comm),
Odontesthes sp.,Darina solenoides,Bivalvia,Bivalvia,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348
Oncorhynchus sp.,Munida gregaria,Benthic decapoda,Decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6024
Ophiactis asperula,Phytodetritus,Phytodetritus,Non-living,Rivera (pers. Comm),
Ophiuroglypha lymani,Crustaceans,Benthic decapoda,Decapoda,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/973
Ophiuroglypha lymani,Bivalves,Bivalvia,Bivalvia,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/978
Ophiuroglypha lymani,Macroalgae,Brown algae,Macroalgae,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/977
Ophiuroglypha lymani,Bryozoans,Bryozoa,Bryozoa,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/979
Ophiuroglypha lymani,Fecal pellets,Detritus,Non-living,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/974
Ophiuroglypha lymani,Detritus,Detritus,Non-living,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/975
Ophiuroglypha lymani,Phytodetritus,Phytodetritus,Non-living,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/972
Ophiuroglypha lymani,Sediment,Sediment,Non-living,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/976
Orcinus orca,Dissostichus eleginoides,Dissostichus eleginoides,Pisces,Capella et al. (2014),https://link.springer.com/article/10.1007/s00300-014-1535-5
Orcinus orca,Arctocephalus australis,Otaria flavescens,Pinnipedia,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1444
Orcinus orca,Otaria flavescens,Otaria flavescens,Pinnipedia,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1443
Orcinus orca,Tachyeres pteneres,Tachyeres pteneres,Aves,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1445
Ostracoda,Detritus,Detritus,Non-living,,
Ostracoda,Picoplankton,Phytoplankton,Phytoplankton,Cañete (pers. comm.),
Ostracoda,Zooplankton,Zooplankton,Zooplankton,,
Otaria flavescens,Munida gregaria,Benthic decapoda,Decapoda,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12379
Otaria flavescens,Callorhinchus callorynchus,Callorhinchus callorynchus,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12393
Otaria flavescens,Cilus gilberti,Cilus gilberti,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12391
Otaria flavescens,Eleginops maclovinus,Eleginops maclovinus,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12383
Otaria flavescens,Genypterus blacodes,Genypterus blacodes,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12392
Otaria flavescens,Merluccius australis,Merluccius australis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12390
Otaria flavescens,Mustelus mento,Mustelus mento,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12384
Otaria flavescens,Odontesthes regia,Odontesthes sp.,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12387
Otaria flavescens,Oncorhynchus kisutch,Oncorhynchus sp.,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12381
Otaria flavescens,Oncorhynchus mykiss,Oncorhynchus sp.,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12380
Otaria flavescens,Paralabrax humeralis,Paralabrax humeralis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12386
Otaria flavescens,Pinguipes chilensis,Pinguipes chilensis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12394
Otaria flavescens,Salmo salar,Salmo salar,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12382
Otaria flavescens,Sprattus fuegensis,Sprattus fuegensis,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12388
Otaria flavescens,Thyrsites atun,Thyrsites atun,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12385
Otaria flavescens,Trachurus murphyi,Trachurus murphyi,Pisces,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12389
Pagurus sp.,Detritus,Detritus,Non-living,C. Andrade (pers. comm.),
Paracalanus indicus,Rhizosolenia sp.,Plankton diatom,Plankton diatom,Aguilera et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/17451000.2010.499437
Paracalanus indicus,Thalassiosira sp.,Plankton diatom,Plankton diatom,Aguilera et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/17451000.2010.499437
Paraeuthria fuscata,Detritus,Detritus,Non-living,Andrade C (2009) ,
Paralomis granulosa,Amphipoda,Amphipoda,Amphipoda,Andrade (pers. comm.),
Paralomis granulosa,Macrocystis pyrifera,Brown algae,Macroalgae,Andrade (pers. comm.),
Paralomis granulosa,Bryozoans,Bryozoa,Bryozoa,Andrade (pers. comm.),
Paralomis granulosa,Debris allocthonous,Detritus,Non-living,Andrade (pers. comm.),
Paralomis granulosa,Enteroctopus megalocyathus,Enteroctopus megalocyathus,Cephalopoda,Andrade (pers. comm.),
Paralomis granulosa,Forams,Foraminifera,Foraminifera,Andrade (pers. comm.),
Paralomis granulosa,Gaimardia trapesina,Gastropoda,Gastropoda,Cañete et al. (2021),https://www.scielo.br/j/nau/a/DwGRczmMrxWjByhxjy8GHhD/
Paralomis granulosa,Hydrozoans,Hydrozoa,Hydrozoa,Andrade (pers. comm.),
Paralomis granulosa,Mytilus chilensis,Mytilus sp.,Bivalvia,Andrade (pers. comm.),
Paralomis granulosa,Polychaetes,Polychaeta,Polychaeta,Andrade (pers. comm.),
Paralomis granulosa,Sponges,Porifera,Porifera,Andrade (pers. comm.),
Paralomis granulosa,Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,Andrade (pers. comm.),
Paralomis granulosa,Rhodophyta indet,Red algae,Macroalgae,Andrade (pers. comm.),
Patagonotothen cornucola,Munida gregaria,Benthic decapoda,Decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6022
Patagonotothen cornucola,Exospheroma gigas,Exosphaeroma gigas,Isopoda,Hüne & Vega (2016),
Patagonotothen sima,Amphipoda,Amphipoda,Amphipoda,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
Patagonotothen sima,Munida gregaria,Benthic decapoda,Decapoda,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
Patagonotothen sima,Copepods,Copepoda,Copepoda,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
Patagonotothen sima,Polychaetes,Polychaeta,Polychaeta,,https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
Patagonotothen sp.,Munida gregaria,Benthic decapoda,Decapoda,,
Patagonotothen sp.,Macroalgae,Brown algae,Macroalgae,,
Patagonotothen sp.,Exospheroma gigas,Exosphaeroma gigas,Isopoda,,
Patagonotothen sp.,Polychaetes,Polychaeta,Polychaeta,,
Patagonotothen tessellata,Austroregia sp.,Amphipoda,Amphipoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6020
Patagonotothen tessellata,Gammaridae,Amphipoda,Amphipoda,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-9
Patagonotothen tessellata,Munida gregaria,Benthic decapoda,Decapoda,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6021
Patagonotothen tessellata,Chironomidae,Chironomidae,Miscellaneous,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-13
Patagonotothen tessellata,Rhizoclonium sp,Green algae,Macroalgae,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-11
Patagonotothen tessellata,Ostracods,Ostracoda,Ostracoda,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-10
Patagonotothen tessellata,Patagonotothen spp.,Patagonotothen sp.,Pisces,Hüne et al. (2023),
Patagonotothen tessellata,Platynereis australis,Polychaeta,Polychaeta,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-8
Patagonotothen tessellata,Polysiphonia sp.,Red algae,Macroalgae,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-12
Patagonotothen tessellata (larvae),Bivalvia larva,Bivalvia (larvae),Bivalvia,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Calanoid (copepodite),Calanoid (copepodite),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Aetideus arcuatus,Copepoda,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Calanoides patagoniensis,Copepoda,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Calanus simillimus,Copepoda,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Copepod egg,Copepoda (egg),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Copepod nauplius,Copepoda (nauplius),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Paracalanus indicus,Paracalanus indicus,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Patagonotothen tessellata (larvae),Pluteus larva,Pluteus (larva),Echinodermata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Peltarion spinulosum,Nacella deaurata,Nacella deaurata,Gastropoda,,https://link.springer.com/article/10.1007/s10530-022-02806-6
Perumytilus purpuratus,Phytoplankton,Phytoplankton,Phytoplankton,,
Perumytilus purpuratus,Zooplankton,Zooplankton,Plankton,,
Pinguipes chilensis,Amphipoda,Amphipoda,Amphipoda,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
Pinguipes chilensis,Aulacomya atra,Aulacomya atra,Bivalvia,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
Pinguipes chilensis,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
Pinguipes chilensis,Odontesthes regia,Odontesthes sp.,Pisces,,
Pinguipes chilensis,Pagurus sp.,Pagurus sp.,Decapoda,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
Pinguipes chilensis,Polychaetes,Polychaeta,Polychaeta,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
Platynereis australis,Macroalgae,Brown algae,Macroalgae,Montiel (pers. comm.),
Platynereis australis,Detritus,Detritus,Non-living,Montiel (pers. comm.),
Plaxiphora aurata,Diatoms,Benthic diatom,Phytoplankton,Andrade (pers. comm.),
Plaxiphora aurata,Diatoms,Benthic diatom,Phytoplankton,Andrade (pers. comm.),
Plaxiphora aurata,Phytodetritus,Phytodetritus,Non-living,C. Andrade (pers. comm.),
Plaxiphora aurata,Phytodetritus,Phytodetritus,Non-living,Andrade (pers. comm.),
Pluteus (larva),Zooplankton,Zooplankton,Zooplankton,,
Polychaeta,Diatoms,Benthic diatom,Phytoplankton,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polychaeta,Brown algae,Brown algae,Macroalgae,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polychaeta,Copepods,Copepoda,Copepoda,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polychaeta,Detritus,Detritus,Non-living,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polychaeta,Green algae,Green algae,Macroalgae,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polychaeta,Ostracods,Ostracoda,Ostracoda,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polychaeta,Red algae,Red algae,Macroalgae,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polychaeta,Zooplankton,Zooplankton,Zooplankton,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
Polyplacophora,Bryozoans,Bryozoa,Bryozoa,,
Polyplacophora,Detritus,Detritus,Non-living,,
Polyplacophora,Phytoplankton,Phytoplankton,Phytoplankton,,
Polyplacophora,Zooplankton,Zooplankton,Zooplankton,,
Porifera,Detritus,Detritus,Non-living,,
Porifera,Phytoplankton,Phytoplankton,Phytoplankton,,
Prolatilus jugularis,Amphipoda,Amphipoda,Amphipoda,Reyes & Hüne (2012),Peces del sur de Chile
Prolatilus jugularis,Pagurus sp.,Pagurus sp.,Decapoda,Reyes & Hüne (2012),Peces del sur de Chile
Prolatilus jugularis,Polychaetes,Polychaeta,Polychaeta,,http://opac.pucv.cl/pucv_txt/txt-0000/UCH0448_01.pdf
Psedechinus magellanicus,Macroalgae,Brown algae,Macroalgae,,https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
Psedechinus magellanicus,Forams,Foraminifera,Foraminifera,,https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
Psedechinus magellanicus,Ostracods,Ostracoda,Ostracoda,,https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
Pseudechinus magellanicus,Brown algae,Brown algae,Macroalgae,,
Pseudechinus magellanicus,Forams,Foraminifera,Foraminifera,,
Pseudechinus magellanicus,Ostracods,Ostracoda,Ostracoda,,
Pseudorca crassidens,Genypterus blacodes,Genypterus blacodes,Pisces,Alonso & Pedraza (1999),
Pseudorca crassidens,Illex argentinus,Illex argentinus,Cephalopoda,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
Pseudorca crassidens,Macruronus magellanicus,Macruronus magellanicus,Pisces,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
Pseudorca crassidens,Martialia hyadesii,Martialia hyadesii,Cephalopoda,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
Salilota australis,Austrolycus depressiceps,Austrolycus depressiceps,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Salilota australis,Munida gregaria,Benthic decapoda,Decapoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Salilota australis,Munida gregaria,Benthic decapoda,Decapoda,,
Salilota australis,Merluccius sp.,Merluccius sp.,Pisces,Jimena Torres pers. comm,
Salilota australis,Patagonotothen cornucola,Patagonotothen cornucola,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Salilota australis,Patagonotothen spp.,Patagonotothen sp.,Pisces,,
Salmo salar,Amphipoda,Amphipoda,Amphipoda,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc
Salmo salar,Merluccius sp.,Merluccius sp.,Pisces,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc
Salmo salar,Odontesthes regia,Odontesthes sp.,Pisces,Antezana (pers. comm),
Salp,Copepods,Copepoda,Copepoda,,https://www.int-res.com/abstracts/meps/v195/p201-220/
Salp,Nanoflagellates,Nanoflagellates,Phytoplankton,,https://academic.oup.com/plankt/article/26/7/827/1514027?login=false
Salp,Picoplankton,Phytoplankton,Phytoplankton,Cañete (pers. comm.),
Siphonaria lessonii,Macroalgae,Brown algae,Macroalgae,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
Siphonaria lessonii,Macrocystis pyrifera,Brown algae,Macroalgae,Andrade (pers. comm.),
Siphonaria lessonii,Phytodetritus,Phytodetritus,Non-living,Andrade (pers. comm.),
Spheniscus magellanicus,Munida gregaria,Benthic decapoda,Decapoda,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile."
Spheniscus magellanicus,Cephalopoda indet,Cephalopoda,Cephalopoda,Boswall & MacIver (1975),"Boswall, J. and D. MacIver 1975 The Magellanic Penguin Spheniscus magellanicus. In Stonehouse, B. (ed.), The Biology of Penguins. University Park Press, Baltimore, USA 271-305."
Spheniscus magellanicus,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
Spheniscus magellanicus,Patagonotothen wiltoni,Patagonotothen sp.,Pisces,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
Spheniscus magellanicus,Ramnogaster arcuata,Ramnogaster arcuata,Pisces,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile."
Spheniscus magellanicus,Sprattus fuegensis,Sprattus fuegensis,Pisces,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
Sprattus fuegensis  ,Amphipoda,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Sprattus fuegensis  ,Hyperiidea,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Sprattus fuegensis  ,Calanoida,Copepoda,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Sprattus fuegensis  ,Copepods,Copepoda,Copepoda,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Harpacticoida,Copepoda,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Sprattus fuegensis  ,Megacalanus sp.,Copepoda,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Sprattus fuegensis  ,Isopoda,Isopoda,Isopoda,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Centric diatoms,Plankton diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Pennate diatoms,Plankton diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Asterionellopsis sp.,Plankton diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Chaetoceros sp.,Plankton diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Pseudonitzschia sp.,Plankton diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Rhizosolenia sp.,Plankton diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Sprattus fuegensis  ,Thalassiosira sp.,Plankton diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
Stercorarius chilensis,Ramnogaster arcuata,Ramnogaster arcuata,Pisces,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936
