ID,Prey,Predator,Reference,Reference_link
403,Benthic decapoda,Spheniscus magellanicus,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile."
404,Cephalopoda,Spheniscus magellanicus,Boswall & MacIver (1975),"Boswall, J. and D. MacIver 1975 The Magellanic Penguin Spheniscus magellanicus. In Stonehouse, B. (ed.), The Biology of Penguins. University Park Press, Baltimore, USA 271-305."
405,Doryteuthis gahi,Spheniscus magellanicus,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
406,Patagonotothen sp.,Spheniscus magellanicus,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
407,Ramnogaster arcuata,Spheniscus magellanicus,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile."
408,Sprattus fuegensis,Spheniscus magellanicus,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
409,Amphipoda,Sprattus fuegensis,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
410,Copepoda,Sprattus fuegensis,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
411,Isopoda,Sprattus fuegensis,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
412,Plankton diatom,Sprattus fuegensis,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
413,Ramnogaster arcuata,Stercorarius chilensis,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936
414,Sprattus fuegensis,Stercorarius chilensis,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936
415,Benthic decapoda,Tachyeres pteneres,Andrade (pers. comm.),
416,Detritus,Tanaidae,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. (2009). Peracarida–amphipods, isopods, tanaidaceans & cumaceans. Mar. Benthic Fauna Chil. Patagon, 671, 718."
417,Phytoplankton,Tanaidae,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. (2009). Peracarida–amphipods, isopods, tanaidaceans & cumaceans. Mar. Benthic Fauna Chil. Patagon, 671, 718."
418,Zooplankton,Tanaidae,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. (2009). Peracarida–amphipods, isopods, tanaidaceans & cumaceans. Mar. Benthic Fauna Chil. Patagon, 671, 718."
419,Brown algae,Tegula atra,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt
420,Green algae,Tegula atra,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt
421,Red algae,Tegula atra,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt
422,Copepoda,Themisto gaudichaudii,Pakhomov & Perissinotto (1996),https://www.int-res.com/articles/meps/134/m134p091.pdf
423,Doryteuthis gahi,Thyrsites atun,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en
424,Odontesthes sp.,Thyrsites atun,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en
425,Sprattus fuegensis,Thyrsites atun,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en
426,Copepoda,Trachurus murphyi,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
427,Crustacea,Trachurus murphyi,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
428,Myctophidae,Trachurus murphyi,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
429,Ostracoda,Trachurus murphyi,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
430,Bivalvia,Trophon geversianus,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/388
431,Mytilus sp.,Trophon geversianus,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/387
432,Perumytilus purpuratus,Trophon geversianus,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/390
433,Amphipoda,Zoarcidae,Schiavini et al. (1997),https://oceanrep.geomar.de/id/eprint/53025/1/3857.pdf
434,Polychaeta,Zoarcidae,Schiavini et al. (1997),https://oceanrep.geomar.de/id/eprint/53025/1/3857.pdf
435,Phytoplankton,Zooplankton,Andrade (pers. comm.),
