ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Reference,Reference_link
343,Polychaeta,Polychaeta,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-8
344,Red algae,Macroalgae,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-12
345,Bivalvia (larvae),Bivalvia,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
346,Calanoid (copepodite),Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
347,Copepoda,Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
348,Copepoda (egg),Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
349,Copepoda (nauplius),Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
350,Paracalanus indicus,Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
351,Pluteus (larva),Echinoidea,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
352,Nacella deaurata,Gastropoda,Peltarion spinulosum,Decapoda,Pardo et al. (2022),https://link.springer.com/article/10.1007/s10530-022-02806-6
353,Phytoplankton,Phytoplankton,Perumytilus purpuratus,Bivalvia,Catalán et al. (2021),https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.13455
354,Zooplankton,Zooplankton,Perumytilus purpuratus,Bivalvia,Catalán et al. (2021),https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.13455
355,Amphipoda,Amphipoda,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
356,Aulacomya atra,Bivalvia,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
357,Doryteuthis gahi,Cephalopoda,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
358,Odontesthes sp.,Teleostei ,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
359,Pagurus sp.,Decapoda,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
360,Polychaeta,Polychaeta,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
361,Brown algae,Macroalgae,Platynereis australis,Polychaeta,Montiel (pers. comm.),
362,Detritus,"Non-living
",Platynereis australis,Polychaeta,Montiel (pers. comm.),
363,Benthic diatom,Bacillariophyceae,Plaxiphora aurata,Polyplacophora,Andrade (pers. comm.),
364,Phytodetritus,"Non-living
",Plaxiphora aurata,Polyplacophora,C. Andrade (pers. comm.),
365,Zooplankton,Zooplankton,Pluteus (larva),Echinoidea,Cañete (pers. comm.),
366,Benthic diatom,Bacillariophyceae,Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
367,Brown algae,Macroalgae,Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
368,Copepoda,Copepoda,Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
369,Detritus,"Non-living
",Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
370,Green algae,Macroalgae,Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
371,Ostracoda,Ostracoda,Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
372,Red algae,Macroalgae,Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
373,Zooplankton,Zooplankton,Polychaeta,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
374,Bryozoa,Bryozoa,Polyplacophora,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
375,Detritus,"Non-living
",Polyplacophora,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
376,Phytoplankton,Phytoplankton,Polyplacophora,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
377,Zooplankton,Zooplankton,Polyplacophora,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
378,Detritus,"Non-living
",Porifera,Porifera,Willenz et al. (2009),https://www.researchgate.net/profile/Philippe-Willenz/publication/257557891_Class_Calcarea/links/5497c3a50cf20f487d316b11/Class-Calcarea.pdf
379,Phytoplankton,Phytoplankton,Porifera,Porifera,Willenz et al. (2009),https://www.researchgate.net/profile/Philippe-Willenz/publication/257557891_Class_Calcarea/links/5497c3a50cf20f487d316b11/Class-Calcarea.pdf
380,Amphipoda,Amphipoda,Prolatilus jugularis,Teleostei,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
381,Pagurus sp.,Decapoda,Prolatilus jugularis,Teleostei,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
382,Polychaeta,Polychaeta,Prolatilus jugularis,Teleostei,Bello (2008),http://opac.pucv.cl/pucv_txt/txt-0000/UCH0448_01.pdf
383,Brown algae,Macroalgae,Pseudechinus magellanicus,Echinoidea,Penchaszadeh et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
384,Foraminifera,Foraminifera,Pseudechinus magellanicus,Echinoidea,Penchaszadeh et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
385,Ostracoda,Ostracoda,Pseudechinus magellanicus,Echinoidea,Penchaszadeh et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
386,Genypterus blacodes,Teleostei ,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
387,Illex argentinus,Cephalopoda,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
388,Macruronus magellanicus,Teleostei,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
389,Martialia hyadesii,Cephalopoda,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
390,Austrolycus depressiceps,"Teleostei
",Salilota australis,Teleostei,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
391,Benthic decapoda,Decapoda,Salilota australis,Teleostei,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
392,Merluccius sp.,Teleostei,Salilota australis,Teleostei,Jimena Torres pers. comm,
393,Patagonotothen cornucola,Teleostei,Salilota australis,Teleostei,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
394,Patagonotothen sp.,Teleostei,Salilota australis,Teleostei,Jimena Torres pers. comm,
395,Amphipoda,Amphipoda,Salmo salar,Teleostei,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc
396,Merluccius sp.,Teleostei,Salmo salar,Teleostei,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc
397,Odontesthes sp.,Teleostei ,Salmo salar,Teleostei,Antezana (pers. comm),
398,Copepoda,Copepoda,Salp,Thaliacea,González et al. (2000),https://www.int-res.com/abstracts/meps/v195/p201-220/
399,Nanoflagellates,Nanoflagellates,Salp,Thaliacea,Vargas & Madis (2004),https://academic.oup.com/plankt/article/26/7/827/1514027?login=false
400,Phytoplankton,Phytoplankton,Salp,Thaliacea,Cañete (pers. comm.),
401,Brown algae,Macroalgae,Siphonaria lessonii,Gastropoda,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
402,Phytodetritus,"Non-living
",Siphonaria lessonii,Gastropoda,Andrade (pers. comm.),
403,Benthic decapoda,Decapoda,Spheniscus magellanicus,Aves,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile."
404,Cephalopoda,Cephalopoda,Spheniscus magellanicus,Aves,Boswall & MacIver (1975),"Boswall, J. and D. MacIver 1975 The Magellanic Penguin Spheniscus magellanicus. In Stonehouse, B. (ed.), The Biology of Penguins. University Park Press, Baltimore, USA 271-305."
405,Doryteuthis gahi,Cephalopoda,Spheniscus magellanicus,Aves,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
406,Patagonotothen sp.,Teleostei,Spheniscus magellanicus,Aves,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
407,Ramnogaster arcuata,Teleostei,Spheniscus magellanicus,Aves,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile."
408,Sprattus fuegensis,Teleostei,Spheniscus magellanicus,Aves,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf
409,Amphipoda,Amphipoda,Sprattus fuegensis,Teleostei,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
410,Copepoda,Copepoda,Sprattus fuegensis,Teleostei,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
411,Isopoda,Isopoda,Sprattus fuegensis,Teleostei,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
412,Plankton diatom,Bacillariophyceae,Sprattus fuegensis,Teleostei,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf
413,Ramnogaster arcuata,Teleostei,Stercorarius chilensis,Aves,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936
414,Sprattus fuegensis,Teleostei,Stercorarius chilensis,Aves,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936
415,Benthic decapoda,Decapoda,Tachyeres pteneres,Aves,Andrade (pers. comm.),
416,Detritus,"Non-living
",Tanaidae,Tanaidacea,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. (2009). Peracarida–amphipods, isopods, tanaidaceans & cumaceans. Mar. Benthic Fauna Chil. Patagon, 671, 718."
417,Phytoplankton,Phytoplankton,Tanaidae,Tanaidacea,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. (2009). Peracarida–amphipods, isopods, tanaidaceans & cumaceans. Mar. Benthic Fauna Chil. Patagon, 671, 718."
418,Zooplankton,Zooplankton,Tanaidae,Tanaidacea,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. (2009). Peracarida–amphipods, isopods, tanaidaceans & cumaceans. Mar. Benthic Fauna Chil. Patagon, 671, 718."
419,Brown algae,Macroalgae,Tegula atra,Gastropoda,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt
420,Green algae,Macroalgae,Tegula atra,Gastropoda,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt
421,Red algae,Macroalgae,Tegula atra,Gastropoda,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt
422,Copepoda,Copepoda,Themisto gaudichaudii,Amphipoda,Pakhomov & Perissinotto (1996),https://www.int-res.com/articles/meps/134/m134p091.pdf
423,Doryteuthis gahi,Cephalopoda,Thyrsites atun,Teleostei,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en
424,Odontesthes sp.,Teleostei ,Thyrsites atun,Teleostei,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en
425,Sprattus fuegensis,Teleostei,Thyrsites atun,Teleostei,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en
426,Copepoda,Copepoda,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
427,Crustacea,Crustacea,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
428,Myctophidae,Teleostei,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
429,Ostracoda,Ostracoda,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext
430,Bivalvia,Bivalvia,Trophon geversianus,Gastropoda,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/388
431,Mytilus sp.,Bivalvia,Trophon geversianus,Gastropoda,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/387
432,Perumytilus purpuratus,Bivalvia,Trophon geversianus,Gastropoda,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/390
433,Amphipoda,Amphipoda,Zoarcidae,Teleostei,Schiavini et al. (1997),https://oceanrep.geomar.de/id/eprint/53025/1/3857.pdf
434,Polychaeta,Polychaeta,Zoarcidae,Teleostei,Schiavini et al. (1997),https://oceanrep.geomar.de/id/eprint/53025/1/3857.pdf
435,Phytoplankton,Phytoplankton,Zooplankton,Zooplankton,Andrade (pers. comm.),
