ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Citation,Full_reference
349,Copepoda (nauplius),Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),"Salas-Berrios, F., Valdés-Aguilera, J., Landaeta, M. F., Bustos, C. A., Pérez-Vargas, A., & Balbontín, F. (2013). Feeding habits and diet overlap of marine fish larvae from the peri-Antarctic Magellan region. Polar Biology, 36(10), 1401-1414. https://doi.org/10.1007/s00300-013-1359-8"
350,Paracalanus indicus,Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),"Salas-Berrios, F., Valdés-Aguilera, J., Landaeta, M. F., Bustos, C. A., Pérez-Vargas, A., & Balbontín, F. (2013). Feeding habits and diet overlap of marine fish larvae from the peri-Antarctic Magellan region. Polar Biology, 36(10), 1401-1414. https://doi.org/10.1007/s00300-013-1359-8"
351,Pluteus (larva),Echinoidea,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),"Salas-Berrios, F., Valdés-Aguilera, J., Landaeta, M. F., Bustos, C. A., Pérez-Vargas, A., & Balbontín, F. (2013). Feeding habits and diet overlap of marine fish larvae from the peri-Antarctic Magellan region. Polar Biology, 36(10), 1401-1414. https://doi.org/10.1007/s00300-013-1359-8"
352,Nacella deaurata,Gastropoda,Peltarion spinulosum,Decapoda,Pardo et al. (2022),"Pardo, L. M., Garrido, I., Chaparro, O. R., & Johnson, L. E. (2022). Vulnerability in Antarctic limpets: Ready for an invasion of shell-crushing predators? Biological Invasions, 24(9), 2795-2808. https://doi.org/10.1007/s10530-022-02806-6"
353,Phytoplankton,Phytoplankton,Perumytilus purpuratus,Bivalvia,Catalán et al. (2021),"Catalán, A. M., Büchner‐Miranda, J., Riedemann, B., Chaparro, O. R., Valdivia, N., & Scrosati, R. A. (2021). Community‐wide consequences of nonconsumptive predator effects on a foundation species. Journal of Animal Ecology, 90(5), 1307-1316. https://doi.org/10.1111/1365-2656.13455"
354,Zooplankton,Zooplankton,Perumytilus purpuratus,Bivalvia,Catalán et al. (2021),"Catalán, A. M., Büchner‐Miranda, J., Riedemann, B., Chaparro, O. R., Valdivia, N., & Scrosati, R. A. (2021). Community‐wide consequences of nonconsumptive predator effects on a foundation species. Journal of Animal Ecology, 90(5), 1307-1316. https://doi.org/10.1111/1365-2656.13455"
355,Amphipoda,Amphipoda,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),"González, P., & Oyarzún, C. (2003). Diet of the Chilean sandperch, Pinguipes chilensis (Perciformes, Pinguipedidae) in southern Chile: Diet of the Chilean sandperch. Journal of Applied Ichthyology, 19(6), 371-375. https://doi.org/10.1111/j.1439-0426.2003.00444.x"
356,Aulacomya atra,Bivalvia,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),"González, P., & Oyarzún, C. (2003). Diet of the Chilean sandperch, Pinguipes chilensis (Perciformes, Pinguipedidae) in southern Chile: Diet of the Chilean sandperch. Journal of Applied Ichthyology, 19(6), 371-375. https://doi.org/10.1111/j.1439-0426.2003.00444.x"
357,Doryteuthis gahi,Cephalopoda,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),"González, P., & Oyarzún, C. (2003). Diet of the Chilean sandperch, Pinguipes chilensis (Perciformes, Pinguipedidae) in southern Chile: Diet of the Chilean sandperch. Journal of Applied Ichthyology, 19(6), 371-375. https://doi.org/10.1111/j.1439-0426.2003.00444.x"
358,Odontesthes sp.,Teleostei ,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),"González, P., & Oyarzún, C. (2003). Diet of the Chilean sandperch, Pinguipes chilensis (Perciformes, Pinguipedidae) in southern Chile: Diet of the Chilean sandperch. Journal of Applied Ichthyology, 19(6), 371-375. https://doi.org/10.1111/j.1439-0426.2003.00444.x"
359,Pagurus sp.,Decapoda,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),"González, P., & Oyarzún, C. (2003). Diet of the Chilean sandperch, Pinguipes chilensis (Perciformes, Pinguipedidae) in southern Chile: Diet of the Chilean sandperch. Journal of Applied Ichthyology, 19(6), 371-375. https://doi.org/10.1111/j.1439-0426.2003.00444.x"
360,Polychaeta,Polychaeta,Pinguipes chilensis,Teleostei,González & Oyarzún (2003),"González, P., & Oyarzún, C. (2003). Diet of the Chilean sandperch, Pinguipes chilensis (Perciformes, Pinguipedidae) in southern Chile: Diet of the Chilean sandperch. Journal of Applied Ichthyology, 19(6), 371-375. https://doi.org/10.1111/j.1439-0426.2003.00444.x"
361,Brown algae,Macroalgae,Platynereis australis,Polychaeta,Montiel (pers. comm.),
362,Detritus,"Non-living
",Platynereis australis,Polychaeta,Montiel (pers. comm.),
363,Benthic diatom,Bacillariophyceae,Plaxiphora aurata,Polyplacophora,Andrade (pers. comm.),
364,Phytodetritus,"Non-living
",Plaxiphora aurata,Polyplacophora,Andrade (pers. comm.),
365,Zooplankton,Zooplankton,Pluteus (larva),Echinoidea,Cañete (pers. comm.),
366,Benthic diatom,Bacillariophyceae,Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
367,Brown algae,Macroalgae,Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
368,Copepoda,Copepoda,Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
369,Detritus,"Non-living
",Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
370,Green algae,Macroalgae,Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
371,Ostracoda,Ostracoda,Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
372,Red algae,Macroalgae,Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
373,Zooplankton,Zooplankton,Polychaeta,Polychaeta,Fauchald & Jumars (1979),"Fauchald, K., & Jumars, P. A. (1979). The diet of worms: A study of polychaete feeding guilds. Oceanography and marine Biology annual review, 17, 193-284."
374,Bryozoa,Bryozoa,Polyplacophora,Polyplacophora,Schwabe (2009),"Schwabe, E. A. (2009). Polyplacophora – Chitones (Quitones). In V. Haüssermann & G. Försterra (Eds.), Fauna marina bentónica de la Patagonia Chilena (pp. 390–424). Nature in Focus."
375,Detritus,"Non-living
",Polyplacophora,Polyplacophora,Schwabe (2009),"Schwabe, E. A. (2009). Polyplacophora – Chitones (Quitones). In V. Haüssermann & G. Försterra (Eds.), Fauna marina bentónica de la Patagonia Chilena (pp. 390–424). Nature in Focus."
376,Phytoplankton,Phytoplankton,Polyplacophora,Polyplacophora,Schwabe (2009),"Schwabe, E. A. (2009). Polyplacophora – Chitones (Quitones). In V. Haüssermann & G. Försterra (Eds.), Fauna marina bentónica de la Patagonia Chilena (pp. 390–424). Nature in Focus."
377,Zooplankton,Zooplankton,Polyplacophora,Polyplacophora,Schwabe (2009),"Schwabe, E. A. (2009). Polyplacophora – Chitones (Quitones). In V. Haüssermann & G. Försterra (Eds.), Fauna marina bentónica de la Patagonia Chilena (pp. 390–424). Nature in Focus."
378,Detritus,"Non-living
",Porifera,Porifera,Willenz et al. (2009),"Willenz, P., Azevedo, F., Hajdu, E., & Klautau, M. (2009). Porifera—sponges: Class Calcarea. In V. Häussermann & G. Försterra (Eds.), Marine benthic fauna of Chilean Patagonia (pp. 99–106). Nature in Focus."
379,Phytoplankton,Phytoplankton,Porifera,Porifera,Willenz et al. (2009),"Willenz, P., Azevedo, F., Hajdu, E., & Klautau, M. (2009). Porifera—sponges: Class Calcarea. In V. Häussermann & G. Försterra (Eds.), Marine benthic fauna of Chilean Patagonia (pp. 99–106). Nature in Focus."
380,Amphipoda,Amphipoda,Prolatilus jugularis,Teleostei,Reyes & Hüne (2012),"Reyes, P. L., & Hüne, M. B. (2012). Peces del Sur de Chile. Santiago de Chile: Editorial Ocho Libros."
381,Pagurus sp.,Decapoda,Prolatilus jugularis,Teleostei,Reyes & Hüne (2012),"Reyes, P. L., & Hüne, M. B. (2012). Peces del Sur de Chile. Santiago de Chile: Editorial Ocho Libros."
382,Polychaeta,Polychaeta,Prolatilus jugularis,Teleostei,Bello (2008),"Bello Smith, A. (2008). Composición de la dieta de peces demersales y batoideos presentes entre Coquimbo y Chiloé: Análisis trófico estacional y latitudinal (Tesis de Biología Marina, Universidad de Chile). 93 pp."
383,Brown algae,Macroalgae,Pseudechinus magellanicus,Echinoidea,Penchaszadeh et al. (2004),"Penchaszadeh, P. E., Bigatti, G., & Miloslavich, P. (2004). Feeding of Pseudechinus magellanicus (Philippi, 1857) (Echinoidea: Temnopleuridae) in the SW Atlantic Coast (Argentina). Ophelia, 58(2), 91-99. https://doi.org/10.1080/00785326.2004.10410216"
384,Foraminifera,Foraminifera,Pseudechinus magellanicus,Echinoidea,Penchaszadeh et al. (2004),"Penchaszadeh, P. E., Bigatti, G., & Miloslavich, P. (2004). Feeding of Pseudechinus magellanicus (Philippi, 1857) (Echinoidea: Temnopleuridae) in the SW Atlantic Coast (Argentina). Ophelia, 58(2), 91-99. https://doi.org/10.1080/00785326.2004.10410216"
385,Ostracoda,Ostracoda,Pseudechinus magellanicus,Echinoidea,Penchaszadeh et al. (2004),"Penchaszadeh, P. E., Bigatti, G., & Miloslavich, P. (2004). Feeding of Pseudechinus magellanicus (Philippi, 1857) (Echinoidea: Temnopleuridae) in the SW Atlantic Coast (Argentina). Ophelia, 58(2), 91-99. https://doi.org/10.1080/00785326.2004.10410216"
386,Genypterus blacodes,Teleostei ,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),"Alonso, M. K., Pedraza, S. N., Schiavini, A. C. M., Goodall, R. N. P., & Crespo, E. A. (1999). Stomach contents of false killer whales (Pseudorca crassidens) stranded on the coasts of the Strait of Magellan, Tierra del Fuego. Marine Mammal Science, 15(3), 712-724. https://doi.org/10.1111/j.1748-7692.1999.tb00838.x"
387,Illex argentinus,Cephalopoda,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),"Alonso, M. K., Pedraza, S. N., Schiavini, A. C. M., Goodall, R. N. P., & Crespo, E. A. (1999). Stomach contents of false killer whales (Pseudorca crassidens) stranded on the coasts of the Strait of Magellan, Tierra del Fuego. Marine Mammal Science, 15(3), 712-724. https://doi.org/10.1111/j.1748-7692.1999.tb00838.x"
388,Macruronus magellanicus,Teleostei,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),"Alonso, M. K., Pedraza, S. N., Schiavini, A. C. M., Goodall, R. N. P., & Crespo, E. A. (1999). Stomach contents of false killer whales (Pseudorca crassidens) stranded on the coasts of the Strait of Magellan, Tierra del Fuego. Marine Mammal Science, 15(3), 712-724. https://doi.org/10.1111/j.1748-7692.1999.tb00838.x"
389,Martialia hyadesii,Cephalopoda,Pseudorca crassidens,Mammalia,Alonso & Pedraza (1999),"Alonso, M. K., Pedraza, S. N., Schiavini, A. C. M., Goodall, R. N. P., & Crespo, E. A. (1999). Stomach contents of false killer whales (Pseudorca crassidens) stranded on the coasts of the Strait of Magellan, Tierra del Fuego. Marine Mammal Science, 15(3), 712-724. https://doi.org/10.1111/j.1748-7692.1999.tb00838.x"
390,Austrolycus depressiceps,"Teleostei
",Salilota australis,Teleostei,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
391,Benthic decapoda,Decapoda,Salilota australis,Teleostei,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
392,Merluccius sp.,Teleostei,Salilota australis,Teleostei,Torres pers. comm,
393,Patagonotothen cornucola,Teleostei,Salilota australis,Teleostei,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
394,Patagonotothen sp.,Teleostei,Salilota australis,Teleostei,Torres pers. comm,
395,Amphipoda,Amphipoda,Salmo salar,Teleostei,Soto et al. (2001),"Soto, D., Jara, F., & Moreno, C. (2001). Escaped salmon in the inner seas, southern Chile: Facing ecological and social conflicts. Ecological Applications, 11(6), 1750-1762. https://doi.org/10.1890/1051-0761(2001)011[1750:ESITIS]2.0.CO;2"
396,Merluccius sp.,Teleostei,Salmo salar,Teleostei,Soto et al. (2001),"Soto, D., Jara, F., & Moreno, C. (2001). Escaped salmon in the inner seas, southern Chile: Facing ecological and social conflicts. Ecological Applications, 11(6), 1750-1762. https://doi.org/10.1890/1051-0761(2001)011[1750:ESITIS]2.0.CO;2"
397,Odontesthes sp.,Teleostei ,Salmo salar,Teleostei,Antezana (pers. comm),
398,Copepoda,Copepoda,Salp,Thaliacea,González et al. (2000),"González, H., Sobarzo, M., Figueroa, D., & Nöthig, E. (2000). Composition, biomass and potential grazing impact of the crustacean and pelagic tunicates in the northern Humboldt Current area off Chile:differences between El Niño and non-El Niño years. Marine Ecology Progress Series, 195, 201-220. https://doi.org/10.3354/meps195201"
399,Nanoflagellates,Nanoflagellates,Salp,Thaliacea,Vargas (2004),"Vargas, C. A. (2004). Zooplankton feeding ecology: Clearance and ingestion rates of the salps Thalia democratica, Cyclosalpa affinis and Salpa cylindrica on naturally occurring particles in the Mid-Atlantic Bight. Journal of Plankton Research, 26(7), 827-833. https://doi.org/10.1093/plankt/fbh068"
400,Phytoplankton,Phytoplankton,Salp,Thaliacea,Cañete (pers. comm.),
401,Brown algae,Macroalgae,Siphonaria lessonii,Gastropoda,Ríos & Gerdes (1997),"Ríos, C., & Gerdes, D. (1997). Ensamble bentónico epifaunístico de un campo intermareal de bloques y cantos en Bahía Laredo, Estrecho de Magallanes. Anales del instituto de la Patagonia, Serie Ciencias Naturales 25, 47-55."
402,Phytodetritus,"Non-living
",Siphonaria lessonii,Gastropoda,Andrade (pers. comm.),
403,Benthic decapoda,Decapoda,Spheniscus magellanicus,Aves,Venegas & Sielfeld (1981),"Venegas, C., & Sielfeld, W. (1981). Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables [p. 83]. In Proceedings of Jornadas de Ciencias del Mar. Valdivia, Chile."
404,Cephalopoda,Cephalopoda,Spheniscus magellanicus,Aves,Boswall & MacIver (1975),"Boswall, J., & MacIver, D. (1975). The Magellanic penguin Spheniscus magellanicus. In B. Stonehouse (Ed.), The biology of penguins (pp. 271–305). University Park Press."
405,Doryteuthis gahi,Cephalopoda,Spheniscus magellanicus,Aves,Almonacid (2018),"Almonacid, E. (2018). Dieta del pingüino de Magallanes durante la temporada reproductiva 1992-93 en el seno Otway, sur de Chile. Revista Chilena de Ornitología, 24(1), 15–19."
406,Patagonotothen sp.,Teleostei,Spheniscus magellanicus,Aves,Almonacid (2018),"Almonacid, E. (2018). Dieta del pingüino de Magallanes durante la temporada reproductiva 1992-93 en el seno Otway, sur de Chile. Revista Chilena de Ornitología, 24(1), 15–19."
407,Ramnogaster arcuata,Teleostei,Spheniscus magellanicus,Aves,Venegas & Sielfeld (1981),"Venegas, C., & Sielfeld, W. (1981). Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables [p. 83]. In Proceedings of Jornadas de Ciencias del Mar. Valdivia, Chile."
408,Sprattus fuegensis,Teleostei,Spheniscus magellanicus,Aves,Almonacid (2018),"Almonacid, E. (2018). Dieta del pingüino de Magallanes durante la temporada reproductiva 1992-93 en el seno Otway, sur de Chile. Revista Chilena de Ornitología, 24(1), 15–19."
409,Amphipoda,Amphipoda,Sprattus fuegensis,Teleostei,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
410,Copepoda,Copepoda,Sprattus fuegensis,Teleostei,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
411,Isopoda,Isopoda,Sprattus fuegensis,Teleostei,Montecinos (2015),"Montecinos, S. (2015). Composición dietaria de Sprattus fuegensis y determinación del nivel trófico mediante isótopos estables de δ13C y δ15N en la zona sur austral [PhD Thesis]. Universidad de Concepción. Facultad de Ciencias Naturales y Oceanográficas …."
412,Plankton diatom,Bacillariophyceae,Sprattus fuegensis,Teleostei,Montecinos (2015),"Montecinos, S. (2015). Composición dietaria de Sprattus fuegensis y determinación del nivel trófico mediante isótopos estables de δ13C y δ15N en la zona sur austral [PhD Thesis]. Universidad de Concepción. Facultad de Ciencias Naturales y Oceanográficas …."
413,Ramnogaster arcuata,Teleostei,Stercorarius chilensis,Aves,Sepúlveda (2016),"Sepúlveda, G. (2016). Uso de hábitat y éxito reproductivo del Salteador chileno (Stercorarius chilensis) en Isla Magdalena, Magallanes (Tesis de Magíster en Biología Marina). Universidad Andrés Bello. Repositorio Institucional Académico."
414,Sprattus fuegensis,Teleostei,Stercorarius chilensis,Aves,Sepúlveda (2016),"Sepúlveda, G. (2016). Uso de hábitat y éxito reproductivo del Salteador chileno (Stercorarius chilensis) en Isla Magdalena, Magallanes (Tesis de Magíster en Biología Marina). Universidad Andrés Bello. Repositorio Institucional Académico."
415,Benthic decapoda,Decapoda,Tachyeres pteneres,Aves,Andrade (pers. comm.),
416,Detritus,"Non-living
",Tanaidae,Tanaidacea,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. A. (2009). Peracarida – Amphipods, isopods, tanaidaceans & cumaceans. In V. Haussermann & G. Försterra (Eds.), Marine benthic fauna of Chilean Patagonia (pp. 671–718). Nature in Focus."
417,Phytoplankton,Phytoplankton,Tanaidae,Tanaidacea,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. A. (2009). Peracarida – Amphipods, isopods, tanaidaceans & cumaceans. In V. Haussermann & G. Försterra (Eds.), Marine benthic fauna of Chilean Patagonia (pp. 671–718). Nature in Focus."
418,Zooplankton,Zooplankton,Tanaidae,Tanaidacea,Thiel & Hinojosa (2009),"Thiel, M., & Hinojosa, I. A. (2009). Peracarida – Amphipods, isopods, tanaidaceans & cumaceans. In V. Haussermann & G. Försterra (Eds.), Marine benthic fauna of Chilean Patagonia (pp. 671–718). Nature in Focus."
419,Brown algae,Macroalgae,Tegula atra,Gastropoda,Pinochet et al. (2018),"Pinochet, R., Soto, J. C., Palacios, M., & Oyarzún, S. (2018). Selección dietaria de Tegula atra (Lesson, 1830) como una aproximación de preferencia sobre distintas especies de macroalgas en el sur de Chile. Anales Del Instituto de La Patagonia, 46(3), 51-60. https://doi.org/10.4067/S0718-686X2018000300051"
420,Green algae,Macroalgae,Tegula atra,Gastropoda,Pinochet et al. (2018),"Pinochet, R., Soto, J. C., Palacios, M., & Oyarzún, S. (2018). Selección dietaria de Tegula atra (Lesson, 1830) como una aproximación de preferencia sobre distintas especies de macroalgas en el sur de Chile. Anales Del Instituto de La Patagonia, 46(3), 51-60. https://doi.org/10.4067/S0718-686X2018000300051"
421,Red algae,Macroalgae,Tegula atra,Gastropoda,Pinochet et al. (2018),"Pinochet, R., Soto, J. C., Palacios, M., & Oyarzún, S. (2018). Selección dietaria de Tegula atra (Lesson, 1830) como una aproximación de preferencia sobre distintas especies de macroalgas en el sur de Chile. Anales Del Instituto de La Patagonia, 46(3), 51-60. https://doi.org/10.4067/S0718-686X2018000300051"
422,Copepoda,Copepoda,Themisto gaudichaudii,Amphipoda,Pakhomov & Perissinotto (1996),"Pakhomov, E., & Perissinotto, R. (1996). Trophodynamics of the hyperiid amphipod Themisto gaudichaudi in the South Georgia region during late austral summer. Marine ecology progress series, 134, 91-100."
423,Doryteuthis gahi,Cephalopoda,Thyrsites atun,Teleostei,Carimán & Reyes (2019),"Carimán, P. J., & Reyes, P. R. (2019). Status of the biological and fishery knowledge of Thyrsites atun in the Southern Hemisphere. Revista de Biología Marina y Oceanografía, 54(1), 11-20. https://doi.org/10.22370/rbmo.2019.54.1.1434"
424,Odontesthes sp.,Teleostei ,Thyrsites atun,Teleostei,Carimán & Reyes (2019),"Carimán, P. J., & Reyes, P. R. (2019). Status of the biological and fishery knowledge of Thyrsites atun in the Southern Hemisphere. Revista de Biología Marina y Oceanografía, 54(1), 11-20. https://doi.org/10.22370/rbmo.2019.54.1.1434"
425,Sprattus fuegensis,Teleostei,Thyrsites atun,Teleostei,Carimán & Reyes (2019),"Carimán, P. J., & Reyes, P. R. (2019). Status of the biological and fishery knowledge of Thyrsites atun in the Southern Hemisphere. Revista de Biología Marina y Oceanografía, 54(1), 11-20. https://doi.org/10.22370/rbmo.2019.54.1.1434"
426,Copepoda,Copepoda,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),"Medina, M., & Arancibia, H. (2002). Trophic dynamic of jack mackerel (Trachurus symmetricus murphyi) in northern Chile. Investigaciones Marinas, 30(1). https://doi.org/10.4067/S0717-71782002000100003"
427,Crustacea,Crustacea,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),"Medina, M., & Arancibia, H. (2002). Trophic dynamic of jack mackerel (Trachurus symmetricus murphyi) in northern Chile. Investigaciones Marinas, 30(1). https://doi.org/10.4067/S0717-71782002000100003"
428,Myctophidae,Teleostei,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),"Medina, M., & Arancibia, H. (2002). Trophic dynamic of jack mackerel (Trachurus symmetricus murphyi) in northern Chile. Investigaciones Marinas, 30(1). https://doi.org/10.4067/S0717-71782002000100003"
429,Ostracoda,Ostracoda,Trachurus murphyi,Teleostei,Medina & Arancibia (2002),"Medina, M., & Arancibia, H. (2002). Trophic dynamic of jack mackerel (Trachurus symmetricus murphyi) in northern Chile. Investigaciones Marinas, 30(1). https://doi.org/10.4067/S0717-71782002000100003"
430,Bivalvia,Bivalvia,Trophon geversianus,Gastropoda,Andrade & Ríos (2007),"Andrade, C., & Ríos, C. (2007). Experimental Study on the Feeding Habits of Trophon Geversianus (Pallas 1774))(Gastropoda: Murcidae): Prey selection and manipulation. Anales del Instituto de la Patagonia, 35(1), 45-54."
431,Mytilus sp.,Bivalvia,Trophon geversianus,Gastropoda,Andrade & Ríos (2007),"Andrade, C., & Ríos, C. (2007). Experimental Study on the Feeding Habits of Trophon Geversianus (Pallas 1774))(Gastropoda: Murcidae): Prey selection and manipulation. Anales del Instituto de la Patagonia, 35(1), 45-54."
432,Perumytilus purpuratus,Bivalvia,Trophon geversianus,Gastropoda,Andrade & Ríos (2007),"Andrade, C., & Ríos, C. (2007). Experimental Study on the Feeding Habits of Trophon Geversianus (Pallas 1774))(Gastropoda: Murcidae): Prey selection and manipulation. Anales del Instituto de la Patagonia, 35(1), 45-54."
433,Amphipoda,Amphipoda,Zoarcidae,Teleostei,Schiavini et al. (1997),"Schiavini, A., Goodall, R. N. P., Lescrauwaet, A.-K., & Koen Alonso, M. (1997). Food habits of the Peale’s dolphin, Lagenorhynchus australis; review and new information. Report of the International Whaling Commission, 47, 827-834."
434,Polychaeta,Polychaeta,Zoarcidae,Teleostei,Schiavini et al. (1997),"Schiavini, A., Goodall, R. N. P., Lescrauwaet, A.-K., & Koen Alonso, M. (1997). Food habits of the Peale’s dolphin, Lagenorhynchus australis; review and new information. Report of the International Whaling Commission, 47, 827-834."
435,Phytoplankton,Phytoplankton,Zooplankton,Zooplankton,Andrade (pers. comm.),
